"Group","Item","Page","Guidance","Done","Notes"
"SSL Certificate Management in Prism Central","Regenerating a Self-Signed Certificate in Prism Central","75","Regenerate a self signed SSL certificate in Prism Central. ¶ About this task To regenerate a self signed certificate in Prism Central, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select Settings. ¶ 3. Under Security, select SSL Certificate. ¶ 4. Click Replace Certificate. ¶ 5. Select Regenerate Self Signed Certificate and click Apply. ¶ 6. Click OK. ¶ Prism Central generates and applies a new RSA 2048 bit self-signed certificate.","",""
"SSL Certificate Management in Prism Central","Supported Key Configurations for SSL Certificates","75","Nutanix supports only the following key types, sizes or curves, and signature algorithms for SSL certificates: ¶ Key Type Size or Curve Signature Algorithm RSA 4096 SHA-256, SHA-384 or SHA512 RSA 2048 SHA-256, SHA-384 or SHA512 ¶ Key Type Size or Curve Signature Algorithm EC DSA 256 prime256v1 ecdsa-with-sha256 ¶ In Prism Central versions prior to pc.2024.3, uploading an RSA 4096-bit certificate might cause some issues. For more information, see KB 12775. ¶ Nutanix does not support SHA-1 certificates, including root CAs. ¶ Client and CAC authentication support only RSA 2048-bit certificates.","",""
"Cluster Lockdown in Prism Central","Configuring Cluster Lockdown in Prism Central","76","Configure cluster lockdown to enable SSH key-based access to your cluster. ¶ Before you begin Ensure that you generate the public key using ssh-keygen command on Mac or Linux, or the PuTTY application on Windows. For more information, see KB-1895. ¶ About this task To configure the cluster lockdown in Prism Central, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select Settings. ¶ 3. Under Security, select Cluster Lockdown. ¶ 4. Deselect the Enable Remote Login with Password checkbox. ¶ 5. Click + New user SSH Key and enter the following information: ¶ Name: Enter a key name. Key: Paste the public key value. ¶ 6. Click Save.","",""
"Cluster Lockdown in Prism Central","Deleting a User SSH Key in Prism Central","77","You can disable the SSH key-based access to your cluster. About this task ¶ Caution: Disabling remote login and deleting all user SSH keys locks down the cluster SSH access. Ensure to select the Enable Remote Login with Password checkbox before deleting all the user SSH keys. To remove the user SSH key, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select Settings. ¶ 3. Under Security, select Cluster Lockdown. ¶ 4. Select the Enable Remote Login with Password checkbox. ¶ 5. Click the X remove icon. ¶ 6. Select OK.","",""
"General","Security Policies using Nutanix Flow","77","Nutanix Flow secures traffic with microsegmentation policies. Nutanix Flow provides a policy-driven security framework to control and inspect application traffic within the data center. You can define microsegmentation policies that restrict east-west traffic between VMs, enforce application isolation, and apply service-specific rules. These policies improve visibility, reduce attack surfaces, and ensure compliance with organizational security requirements. For more information, see the Flow Microsegmentation Guide.","",""
"Data-in-Transit Encryption","Enabling Data-in-Transit Encryption","78","Encrypt service-level traffic between the cluster nodes. ¶ About this task To enable data-in-transit encryption, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Infrastructure application and from the navigation bar, ¶ select Hardware > Clusters. ¶ 3. Select the checkbox associated with the cluster. ¶ 4. Click Actions > Enable Data-in-Transit Encryption. ¶ 5. Click Enable.","",""
"Data-in-Transit Encryption","Disabling Data-in-Transit Encryption","78","You can disable data-in-transit encryption. ¶ About this task To disable data-in-transit encryption, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Infrastructure application and from the navigation bar, ¶ select Hardware > Clusters. ¶ 3. Select the checkbox associated with the cluster. ¶ 4. Click Actions > Disable Data-in-Transit Encryption. ¶ 5. Click Disable.","",""
"Securing AHV VMs with a Virtual Trusted Platform Module","Virtual Trusted Platform Module Requirements","79","Understand the requirements for a virtual Trusted Platform Module (vTPM) in Prism Central. Supported software versions: ¶ pc.2022.9 or later AHV version 20220304.242 or later AOS version 6.5.1 or later VM requirements: ¶ You must enable UEFI firmware. For more information, see UEFI Support for VM. You must enable Secure Boot if you are using Windows BitLocker. For more information, see Creating/ ¶ Updating a VM with Secure Boot Enabled.","",""
"Securing AHV VMs with a Virtual Trusted Platform Module","Virtual Trusted Platform Module Limitations","79","Understand the limitations of a virtual Trusted Platform Module (vTPM) in Prism Central. ¶ The Secure Boot limitations apply to vTPM-enabled VMs. For more information, see Secure Boot limitations. The Nutanix Disaster Recovery limitations apply when protecting vTPM-enabled VMs. For more information, see ¶ Disaster Recovery limitations. ¶ If you take a third-party backup of the vTPM-enabled guest VMs, the vTPM data including crucial encryption keys is not protected because third-party backup software does not have access to the data. Therefore, third-party backups of vTPM-enabled guest VMs cannot protect the vTPM device data. ¶ If the data stored in the vTPM device is critical, such as encryption keys for Windows BitLocker, restoring a VM from a third-party backup might render it unusable and result in unrecoverable data loss. ¶ If the data in the vTPM device is non critical, such as for Windows Secure Boot, the backup software or user must attach a new vTPM device during the restore process.","",""
"Securing AHV VMs with a Virtual Trusted Platform Module","Configuring a VM with a Virtual Trusted Platform Module","80","Enable a virtual Trusted Platform Module (vTPM) feature to secure virtual machines running on AHV. Before you begin For more information on VM creation settings, see Creating a VM in Prism Central Infrastructure Guide. About this task To enable the vTPM when creating a VM, follow these steps: Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Infrastructure application and from the navigation bar, ¶ select Compute > VMs. ¶ 3. Select the List tab. ¶ 4. Click Create VM. ¶ 5. Navigate to the Resources tab and perform the following actions: ¶ Boot Configuration: Select UEFI BIOS Mode option. Shield VM Security Settings: Select the Attach vTPM checkbox. ¶ 6. At the subsequent VM setting tabs, click Next. ¶ 7. Click Save. What to do next Power on the VM to verify if the vTPM configuration is applied on the VM.","",""
"Securing AHV VMs with a Virtual Trusted Platform Module","Enabling a Virtual Trusted Platform Module on an Existing VM","81","Update the settings of an existing VM to enable a virtual Trusted Platform Module (vTPM). Before you begin Before you enable the vTPM on an existing VM, consider the following points: The UEFI BIOS mode is enabled for boot configuration in the existing VM. Power off the VM before you enable the vTPM. About this task To enable the vTPM on the existing VM, follow these steps: Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Infrastructure application and from the navigation bar, ¶ select Compute > VMs. ¶ 3. Select the List tab. ¶ 4. Select the checkbox associated with the VM. ¶ 5. Click Actions > Update ¶ 6. Navigate to the Resources tab and select Attach vTPM checkbox. ¶ 7. At the subsequent VM setting tabs, click Next. ¶ 8. Click Save. What to do next Power on the VM to verify if the vTPM configuration is applied on the VM.","",""
"Securing AHV VMs with a Virtual Trusted Platform Module","vTPM Integration with External KMS","81","vTPM keys are protected using an external KMS when software data-at-rest encryption is enabled. When software data-at-rest encryption is enabled and an external KMS is configured through Prism Central, AHV vTPM keys are encrypted and stored in that KMS. The external KMS manages the key lifecycle, including validation and availability checks, using the same trust model as data-at-rest encryption. For more information on configuring an external KMS using Prism Central, see External Key Management Server on Prism Central on page 102. If no external KMS is configured, vTPM keys are stored and protected by the native key manager. In all cases, vTPM keys are included in key backups for recovery. ¶ Ensure that the external KMS remains reachable and perform periodic key backups. During recovery, the key backup file is required for vTPM-enabled VMs to start successfully. For more information on performing a key backup manually, see Backing up encryption keys using Prism Element on page 82. ¶ Caution: If the backup file is not available, vTPM-enabled VMs might fail to start after recovery. ¶ Backing up encryption keys using Prism Element Back up software data-at-rest encryption keys to ensure that vTPM-enabled VMs can start successfully after recovery. ¶ About this task To backup software data-at-rest encryption keys, follow these steps. ¶ Procedure ¶ 1. Log on to the Prism Element cluster using SSH. ¶ 2. Back up the software data-at-rest encryption keys. ¶ nutanix@cvm$ ncli data-at-rest-encryption backup-software-encryption-keys file- path=path password=password Replace path and password with values appropriate for your environment.","",""
"Securing AHV VMs with a Virtual Trusted Platform Module","Disabling a Virtual Trusted Platform Module","82","Disable a virtual Trusted Platform Module (vTPM) in a VM. ¶ Before you begin Before you disable the vTPM, consider the following points: ¶ Disabling a vTPM might severely affect VM functionality or result in data loss. For example, if your Windows BitLocker key is stored in a vTPM, ensure that you have the recovery key before disabling a vTPM. ¶ Power off the VM before disabling a vTPM. ¶ About this task To disable the vTPM, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Infrastructure application and from the navigation bar, ¶ select Compute > VMs. ¶ 3. Select the List tab. ¶ 4. Select the checkbox associated with the VM. ¶ 5. Click Actions > Update ¶ 6. Navigate to the Resources tab and deselect Attach vTPM checkbox. ¶ 7. At the subsequent VM setting tabs, click Next. ¶ 8. Click Save.","",""
"Security Dashboard","Security Dashboard Requirements","83","Understand the requirements of the Security Dashboard feature: Your cluster must run AOS 6.6 or later and pc.2022.9 or later. ¶ Note: Ensure your cluster uses a compatible AHV or ESXi hypervisor. For software compatibility details, see the Compatibility and Interoperability Matrix on the Nutanix Support portal. Starting from Prism Central version pc.2024.3.1, certain features of the Security Dashboard, such as the Summary widget, are available only on clusters running AOS 7.0 or later. Only users with the Prism Admin role can access the Security Dashboard feature. Log in with an account that has Prism Admin role assignment to view and manage the Security Dashboard feature. Starting with pc.7.5 release, the Service Manager feature by default supports deployment of Security Dashboard service in a dark site. ¶ Certain Security Dashboard widgets are available only on specific AOS versions: Security Hardening and Vulnerabilities widget requires AOS 6.6 or later. System Account Passwords widget requires AOS 6.7.1 or later.","",""
"Security Dashboard","Security Dashboard Widget in Prism Central Dashboard","84","View security issue summaries across clusters from the Prism Central main dashboard. The Security Dashboard widget on the Prism Central main dashboard displays the total number of security issues across your clusters. The issue count is also available based on categories including security hardening, STIG issues, and vulnerabilities. Click View All Issues to access the Security Dashboard for detailed information on the security posture of all registered clusters.","",""
"Security Dashboard","Security Dashboard Wizard","84","Take a guided tour of the Security Dashboard in Prism Central. The Security Dashboard wizard allows you to take a guided tour and navigate through the various tasks and workflows in the Security Dashboard in Prism Central. The Security Wizard automatically presents as a dialog-box when you access the dashboard feature for the first time. Click Start Tour to begin the dashboard walkthrough. Optionally, you can click Skip for Now to access the dashboard directly. To access this tour later, click the help menu icon (?), expand New in Prism Central, and select Security Dashboard.","",""
"Security Dashboard","Accessing the Security Dashboard","84","Access the Security Dashboard from Prism Central. ¶ About this task To access the Security Dashboard from Prism Central, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. Do one of the following: ¶ » From the Application Switcher Function, select the Infrastructure application and from the navigation bar, select Network & Security > Security Dashboard. ¶ » From the Prism Central main dashboard, under Security widget, click View All Issues.","",""
"Security Dashboard","Security Dashboard Details Page","85","Monitor your cluster security posture in a single customizable view. Security Dashboard is a customizable and dynamic console that provides a unified view of your Nutanix infrastructure's security. By default, the Security Dashboard displays the following information widgets: ¶ Summary on page 85 STIG Policy on page 86 Security Hardening on page 86 Vulnerabilities on page 93 System Account Passwords on page 93 Use the View menu on the dashboard to switch between different cluster views. The widget data updates dynamically based on the following options: ¶ All clusters Individual cluster Selection of clusters ¶ Note: If the Security Dashboard in the Prism Central VM restarts, active tasks in the Security Dashboard are marked as canceled. If this occurs, review the associated subtasks for details about incomplete operations. ¶ Summary The Summary widget allows you to view your open security issues or focus on the clusters that have the most number of security issues. You can click the Summary pie graph to view the following information. ¶ Total number of issues in the clusters Number of issues in the clusters categorized based on the following issue categories: ¶ Security Hardening STIG Issues Vulnerabilities Local Account Passwords ¶ Tip: The Security Dashboard refreshes once daily. Updating the STIG check based vulnerabilities information requires a manual refresh. You can initiate a manual refresh by clicking the refresh icon at the bottom of the widget. Manual refresh process takes some approximately 20 minutes to 2 hours to complete and depends on the number of clusters in your environment. ¶ STIG Policy ¶ STIG helps detect deviation from the security baseline configuration of the operating system and hypervisor to remain in compliance. Nutanix has implemented the Controller VM to support STIG compliance with the RHEL 9 STIG as published by DISA. For more information, see Security Dashboard STIG Guidance Reference. ¶ The STIG Policy widget provides an accurate snapshot of policy violations or deviations (resulting in failure) from the baseline STIG policy. This widget displays the STIG policy compliance status according to controls and resources. ¶ Note: The STIG checks are run only on the node running primary Prism Element. ¶ Status by Controls (Unique) Number of unique STIG controls that are not met. Status by Resources (Total) Total number of individual resources that have failed a set of STIG controls. ¶ Click View Failed Controls to view the list of STIG controls that are not met. ¶ STIG Policy - Failed Controls ¶ The STIG Policy -Failed Controls dialog box allows you to view STIG controls that do not meet the required settings. ¶ Security Hardening ¶ Use the Security Hardening widget to view the status of security hardening controls that are applied to your clusters and to configure multiple security hardening controls directly. ¶ The Security Hardening widget includes the following security hardening configurations: ¶ Security Profiles Apply a predefined security posture to each cluster by selecting one of the Standard, Elevated, or Strict profiles. Selecting a new profile starts a rolling reboot of all nodes. For more information, see Security Profiles on page 87 and Configuring Security Profiles on page 87. ¶ Cluster Lockdown Enables Cluster Lockdown mode to restrict administrative access and enhance security. For more information, see Configuring Cluster Lockdown using Security Dashboard on page 93. ¶ Defense Consent Banner Enables Defense Consent Banner. Once enabled, the system displays the consent banner of the US Department of Defense when connecting with SSH. You must set the Defense Consent Banner individually for Controller VM and AHV hosts. ¶ Host Secure Boot Enables Host Secure Boot to prevent unauthorized firmware or software from running on AHV or ESXi hosts during the boot process. Host secure boot is a unified extensible firmware interface (UEFI) firmware feature that ensures only trusted system components are allowed to run at startup. For more information on enabling and verifying host secure boot, see Host Secure Boot (UEFI). ¶ Network Segmentation Shows the network segmentation status for each cluster. The network segmentation isolates CVM traffic types on separate VLANs or physical networks to improve security and performance. Configure network ¶ segmentation from the network configuration settings page in Prism Element. For more information, see Securing Traffic Through Network Segmentation on page 182. Log Forwarding Shows the log forwarding status for each cluster. Log forwarding sends CVM system, audit, AIDE, and SCMA logs to a central log host to preserve log integrity and meet compliance requirements. Configure log forwarding from the network configuration settings page in Prism Element. For more information, see Log Forwarding on page 170. You can also configure security hardening setting using the nCLI interface. For more information, see Hardening Instructions Using nCLI on page 174. ¶ Security Profiles Use security profiles to simplify cluster security configuration by selecting a predefined profile in the Security dashboard. Security profiles bundle hardening settings into predefined tiers so that cluster administrators can set a security posture with a single profile selection instead of configuring many individual settings. Security profiles are available in the Security dashboard and apply to AOS and AHV clusters. The feature includes the following tiers: ¶ Standard: Represents the default recommended security posture with baseline protections and minimal performance impact. ¶ Elevated: Tightens authentication and kernel protections compared to Standard, including additional CPU mitigations and higher performance overhead. ¶ Strict: Applies the highest hardening level for high-security requirements, including stricter controls and the highest performance impact. ¶ Security profile selection changes multiple hardening settings together. For detailed profile-to-setting values, see Security Profile to Hardening Settings Mapping on page 88. The following behavior and scope apply to security profile selection: ¶ Security profile updates apply only to AHV hosts. If a cluster contains AHV hosts, all AHV hosts in the cluster must run AHV 11.2 or later. The security profile does not update non-AHV hosts in mixed-hypervisor clusters. ¶ Updating the security profile on a cluster with more than three nodes starts a rolling reboot of all nodes. ¶ In mixed-hypervir clusters, the security profile applies only to AOS and AHV nodes. ¶ When you upgrade from an earlier AOS version to the version that supports security profiles (AOS 7.6), the profile can initially appear as Not_Set. You can change from Not_Set to one of the profile options. ¶ If the cluster is not registered to Prism Central, use the Prism Element workflow to set the security profile. For more information, see Configuring Security Profiles Using Prism Element on page 171. ¶ Note: If the Security Dashboard in the Prism Central VM restarts, active tasks in the Security Dashboard are marked as canceled. If this occurs, review the associated subtasks for details about incomplete operations. ¶ Configuring Security Profiles ¶ Set a predefined tier of hardening settings on a cluster by choosing a security profile in the Security dashboard. ¶ Before you begin Ensure that you meet the following requirements: ¶ Prism Central is on version pc.7.6 or later. The cluster runs AOS 7.6 or later. All AHV hosts run AHV 11.2 or later. The cluster is healthy and no critical operations are running. ¶ About this task To set the security profile for a cluster from the Security dashboard in Prism Central, follow these steps: ¶ Note: Setting a new profile starts a rolling reboot of all nodes in the cluster. For clusters with fewer than three nodes, reboot the hosts manually after the profile is set. ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Infrastructure application and from the navigation bar, ¶ select Network & Security > Security Dashboard. ¶ 3. In the Hardening widget, click Configure under Security Profiles. ¶ 4. On the Security Profiles page, click Manage for the target cluster. ¶ 5. In the Manage Security Profile dialog box, select one of the following profiles: ¶ » Standard: Baseline protections with minimal performance impact. » Elevated: Additional authentication and kernel protections with higher performance impact. » Strict: Highest hardening level with the highest performance impact. For the per-tier hardening setting values, see Security Profile to Hardening Settings Mapping on page 88. ¶ 6. Select the acknowledgment checkbox. The checkbox text depends on the cluster size: ¶ For clusters with three or more nodes, the checkbox reads I am aware that a rolling reboot of hosts will start once a new profile is set. ¶ For clusters with fewer than three nodes, the checkbox reads I will manually reboot the hosts once a new profile is set. ¶ 7. Click Set Profile. The system starts applying the selected profile to the cluster. ¶ Security Profile to Hardening Settings Mapping Compare how the Standard, Elevated, and Strict security profiles map to AOS and AHV security hardening settings. The following tables list the profile-based hardening configuration values for AOS and AHV. For the description of each hardening setting listed in this mapping, see Security Profile Hardening Settings Reference on page 90. ¶ Security Profile Summary ¶ Standard - baseline security profile with core protections; minimal performance impact ¶ Elevated - tightens authentication and kernel protections beyond Standard; higher performance overhead than Standard ¶ Strict - maximum hardening profile for high-security requirements; highest performance impact among the three profiles ¶ AOS Security Setting Standard Elevated Strict cluster-scma-schedule Weekly Daily Daily high-strength-password off on on aide off off on max-login-attempt 5 3 3 lockout-sec 900 900 0 userspace-core on on off banner off off on ¶ In the AOS security settings, a lockout-sec value of 0 represents no unlock. AOS kernel security settings require a reboot to apply. ¶ AOS Kernel Security Standard Elevated Strict Setting kernel-core/logcore on on off slub-debug off off on page-poison off off on init-on-free off off on kernel-mitigations off on on processor-mitigations off on on ¶ AHV Security Setting Standard Elevated Strict high-strength-password off on on auto-unlock on off off kernel-security-profile standard elevated strict ¶ AHV Security Setting Standard Elevated Strict aide off off on banner Not set Not set on userspace-core log log off kernel-core on on off ¶ The following notes apply to the AHV security settings: ¶ The auto-unlock setting is implicitly bound to the high-strength-password policy behavior. The banner text is controlled by AOS. AHV kernel security settings require a reboot to apply. ¶ AHV Kernel Security Standard Elevated Strict Setting gdsmitigation on on on srsomitigation off on on forcepti off on on memorypoison off off on slub_debug off off on retbleedmitigation off on on itlbmultihitmitigation off on on ¶ In the AHV kernel security settings, slub_debug is configured through the memorypoison setting. ¶ Security Profile Hardening Settings Reference ¶ Review each security profile hardening setting and where it applies. The settings listed here are the hardening controls that security profiles bundle into the Standard, Elevated, and Strict tiers. For the tier-by-tier value assigned to each setting, see Security Profile to Hardening Settings Mapping on page 88. ¶ Setting definitions aide The advanced intrusion detection environment (AIDE) setting is a file and directory integrity checker. This setting applies to the CVM, PCVM, and AHV host. banner The banner setting displays a banner message when a user logs in over SSH. This setting applies to the CVM, PCVM, and AHV host. ¶ cluster-scma-schedule The SCMA schedule sets how often the security configuration management automation (SCMA) framework runs hardening compliance checks across the cluster. Allowed values are Daily and Weekly. A more frequent schedule detects configuration drift sooner at the cost of additional cluster activity. This setting applies to AOS on the CVM. ¶ forcepti (AHV) The forcepti setting enforces unconditional page table isolation (PTI) to protect against Meltdown by completely separating user-space and kernel-space memory maps. This setting applies to the AHV kernel. ¶ gdsmitigation (AHV) The GDS mitigation addresses the gather data sampling (Downfall) hardware vulnerability by restricting unprivileged speculative access to stale vector register data. This setting applies to the AHV kernel. ¶ high-strength-password The high strength password setting enforces stronger password policies on the CVM, PCVM, or AHV host. This setting enforces the following requirements: ¶ A minimum password length of 16 characters (minlen=16) At least 8 characters that differ from the old password (difok=8) A maximum of 4 consecutive characters from the same character class (maxclassrepeat=4) A check against a user-specific list of prohibited passwords (dictcheck=1) This setting applies to the CVM, PCVM, and AHV host. init-on-free The init_on_free setting is a Linux kernel boot parameter that enhances memory security by automatically zeroing (wiping) memory pages and heap objects immediately after they are freed. This setting applies to the CVM and PCVM. itlbmultihitmitigation The iTLB multihit mitigation addresses the iTLB multihit vulnerability (CVE-2018-12207) by restricting KVM guests from executing large pages, which prevents malicious VMs from inducing host machine check exceptions. This setting applies to the AHV kernel. kernel-core The kernel core dump is a snapshot of the kernel's memory at the time of a crash. Enabling kernel core captures a core dump if the kernel crashes, which helps you debug kernel-related issues. This setting applies to the CVM, PCVM, and AHV host. kernel-mitigations The kernel mitigations setting enables OS-level software defenses within the Linux kernel to protect against side-channel attacks and memory corruption exploits. This setting applies to the CVM and PCVM. ¶ lockout-sec The lockout duration sets how long, in seconds, an account remains locked after exceeding the maximum failed login attempts (max-login-attempt). A value of 0 means the account does not unlock automatically and requires administrator intervention. This setting applies to AOS on the CVM. ¶ max-login-attempt The maximum login attempts setting controls how many consecutive failed login attempts are allowed before the account is locked. Lower values reduce the window for brute-force attacks at the cost of more frequent lockouts from typos. This setting applies to AOS on the CVM. ¶ memorypoison The memory poison setting enables page poisoning and SLUB/SLAB debugging to overwrite freed memory pages with a pattern, preventing use-after-free exploits and detecting memory corruption. This setting applies to the AHV kernel. The equivalent controls on AOS are exposed as page-poison and slub-debug. ¶ min-password-length The minimum password length setting sets the smallest number of characters a user password must contain. Higher values produce stronger passwords at the cost of user convenience. This setting applies to AOS on the CVM. ¶ page-poison The page poison setting overwrites freed memory pages with a specific value to help detect use-after-free vulnerabilities. Enabling page poison helps prevent use-after-free attacks but might reduce performance. This setting applies to the CVM and PCVM. The equivalent control on AHV is memorypoison. ¶ processor-mitigations The processor mitigation setting enables mitigations against processor-based vulnerabilities. Enabling processor mitigation protects against certain types of attacks but might reduce performance. This setting applies to the CVM and PCVM. ¶ retbleedmitigation The Retbleed mitigation addresses the Retbleed vulnerability (CVE-2022-29900, CVE-2022-29901), a speculative-execution vulnerability affecting processors that use return instructions. Enabling the mitigation protects against these attacks by restricting the use of indirect branches and returns, which might reduce performance depending on the workload. This setting applies to the AHV kernel. ¶ slub-debug The slub debug setting is a memory debugging technique that can help detect memory corruption issues. Enabling slub debug mitigation helps prevent memory corruption but might reduce performance. This setting applies to the CVM, PCVM, and the AHV kernel. On AHV, slub_debug is configured through the memorypoison setting. ¶ srsomitigation (AHV) The SRSO mitigation addresses the speculative return stack overflow vulnerability on AMD CPUs by strictly controlling speculation of return instructions. This setting applies to the AHV kernel. ¶ userspace-core The user-space core dump setting controls whether the operating system records the working memory of a user-space program when it crashes or terminates abnormally. Core dumps assist in diagnosing or debugging errors, but Nutanix recommends keeping them disabled in production to prevent stack traces that might contain sensitive data. This setting applies to the CVM, PCVM, and AHV host. ¶ Note: Do not set userspace-core to on unless instructed by Nutanix Support, to ensure data privacy. ¶ Configuring Cluster Lockdown using Security Dashboard You can configure cluster lockdown directly using the Security Dashboard. ¶ About this task To configure cluster lockdown using the Security Dashboard, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application. ¶ 3. From the navigation bar, go to Network & Security > Security Dashboard. ¶ 4. In the Security Hardening widget, click Cluster Lockdown. ¶ 5. From the Your Clusters list, click Lock Down for the required cluster. ¶ 6. Disable remote log on using the Enable Remote Login with Password checkbox. ¶ 7. Delete the SSH key. ¶ To delete the SSH key, click the cross button from the Your Keys list. Your preferences are automatically saved upon configuration. ¶ Vulnerabilities The Vulnerabilities widget displays a list of vulnerabilities (or CVEs) associated with your clusters based on the AOS versions. The Vulnerabilities widget displays vulnerability data for the Prism Central instance and clusters running AOS and AHV only. Click View All Vulnerabilities to view the list of all vulnerabilities and the recommended upgrade path for mitigating the identified vulnerabilities. ¶ Note: Not all the listed CVEs might be resolved when upgraded to a new release. ¶ Starting with Prism Central 2024.1 release, you can update the Vulnerabilities information available on the Security Dashboard. Upgrade the LCM framework to LCM 3.0 release, and then upgrade the Security Dashboard CVE Data using either the connected site or dark site method (web server-based method only). For more information, see Life Cycle Manager Guide. ¶ System Account Passwords View system accounts and their password state. The System Account Passwords widget displays a list of local accounts and the associated password state (default or secure). ¶ You can view the local accounts passwords By Component or By Cluster. Click View all System Account Passwords to change the account passwords using the Centralized Password Management Using System Accounts on page 62 page.","",""
"Security Dashboard","Manually Refresh the Security Dashboard","94","Manually refresh the Security Dashboard only when you are aware that updates or changes are made to the system or data since the last automatic refresh. About this task To manually refresh the Security Dashboard, follow these steps: Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Infrastructure application and from the navigation bar, ¶ select Network & Security > Security Dashboard. ¶ 3. Click Manage Dashboard. ¶ 4. Click Refresh Dashboard. ¶ Note: The system might take some time to refresh the dashboard. Ensure that your Security Dashboard version is updated in Life Cycle Manager (LCM) to ensure security details are correct for all your clusters.","",""
"Security Dashboard","Manually Upgrade the Security Dashboard Using LCM","94","The Life Cycle Manager (LCM) allows you to manually upgrade the security dashboard using PC core services module Before you begin Ensure that port 443 is open in your firewall and allow access to https:// ¶ objects.githubusercontent.com/*. For more information, see Prism Central Port and Protocols. ¶ Manual upgrade of security dashboard is supported in the following software versions: ¶ pc.2022.9 and later Life Cycle Manager version 2.6 and later ¶ About this task To upgrade the security dashboard manually using LCM, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, select LCM. ¶ 3. Perform the inventory. For more information, see LCM Inventory. ¶ 4. From the list of available upgrades, select PC Core Services. ¶ Note: Not every Prism Central core services module upgrade includes security dashboard updates. Some upgrades might only include internal service upgrades. ¶ Starting from pc.2024.1, you can update the Vulnerabilities on page 93 widget information available on the Security Dashboard by upgrading the LCM framework to LCM 3.0 release and the Security Dashboard CVE data using either the connected site or web server-based dark site. For more information, see Life Cycle Manager Guide. ¶ 5. Click Upgrade.","",""
"Secure Access","Secure Access Considerations","95","Review the following requirements, limitations, and upgrade behavior before you change the external SSH state on a cluster or activate Support-only Login. ¶ Requirements The following requirements apply to Secure Access on a cluster: ¶ The cluster runs AOS 7.3 or later. The cluster is registered with Prism Central. ¶ Limitations The following limitations apply to Secure Access on a cluster: ¶ Custom scripts and automations that require a bash session on a Controller VM (CVM) must be migrated to Nutanix v4 APIs. For more information, see KB-20212. ¶ Activation of Support-only Login is irreversible. After activation, the token-exchange requirement for full bash access on a CVM cannot be removed, even if external SSH on the cluster is disabled and re-enabled. For the activation procedure, see Activating Support-only Login on a Cluster on page 100. ¶ Upgrade Behavior When you upgrade a cluster to AOS 7.6 or later, the cluster keeps the external SSH state it had before the upgrade. External SSH is disabled after the upgrade only if it was already disabled; if external SSH was enabled or no explicit state was set, it remains enabled after the upgrade.","",""
"Secure Access","Managing External SSH Access on a Cluster","96","Enable or disable external SSH access on the Controller VM (CVM) of a managed cluster. ¶ Before you begin ¶ The cluster runs AOS 7.3 or a later version. You have a role that grants permission to update cluster security settings. ¶ About this task To enable or disable external SSH on a cluster, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central. ¶ 2. In the application switcher, select Infrastructure, then go to Hardware > Clusters. ¶ The Clusters page opens on the List tab and shows the clusters that Prism Central manages. ¶ 3. In the cluster list, select the checkbox for the target cluster. ¶ 4. Click More actions. ¶ A menu of additional cluster actions opens. ¶ 5. From the More actions menu, select one of the following options based on the current state of the cluster: ¶ Enable NuService Mode enables external SSH on the CVMs in the cluster so that the admin user can connect over SSH. Note: This setting controls whether external SSH is available, not the type of shell. When the admin user connects, the user lands in the NuService menu, a restricted shell that exposes a curated set of administrative actions, rather than an open bash session. ¶ Disable NuService Mode disables external SSH on the CVMs in the cluster. ¶ 6. In the confirmation dialog box, click Enable NuService Mode or Disable NuService Mode to match the option that you selected. The confirmation dialog box notes that the change applies to all nodes on the cluster. Prism Central applies the change to all CVMs in the cluster and records the change in the cluster audit log.","",""
